ItemNo,Item Status,ItemName,Material,Description,Decorating,ColorHeading,ColorList,Category,SubCategory,MasterCartonCasePack,MasterCartonDimension-Depth,MasterCartonDimension-Height,MasterCartonDimension-Weight,MasterCartonDimension-Width,CatalogSize,MemorySize,ImprintTextAll,PackagingDetails,Disclaimers,PriceQtyCol1,PriceQtyCol2,PriceQtyCol3,PriceQtyCol4,PriceQtyCol5,PriceCanCol1,PriceCanCol2,PriceCanCol3,PriceCanCol4,PriceCanCol5,PriceHeadingType,PriceHeadingCDN,Icon_Brand_Name,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Photo_Feature,Photo_1,Photo_2,Photo_3,Photo_4,Photo_5,Photo_6,Photo_7,Photo_8,Photo_9,Photo_10,Photo_11,Photo_12,Photo_13,Photo_14,Photo_15,Photo_16,Photo_17,Photo_18,Photo_19,Photo_20,Photo_21,Photo_22,Photo_23,Photo_24,Photo_25,Photo_26,Photo_27,Photo_28,Photo_29,Photo_30,Photo_Alt1,Photo_Alt2,Photo_Alt3,Photo_Alt4,Photo_Alt5,Photo_Alt6,Photo_Alt7,Photo_Alt8,Photo_Alt9,Photo_Alt10,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,MasterPageName,ItemNew,NewCatText,CategoryImageName,SampleTagColors,RecPenCatText,RecPenPriceCol1,RecPenPriceCol2,RecPenPriceCol3,RecPenPriceCol4,RecPenPriceCol5,RecPenPriceCDNCol1,RecPenPriceCDNCol2,RecPenPriceCDNCol3,RecPenPriceCDNCol4,RecPenPriceCDNCol5,CatalogDescPackaging,RecPenFilename,Callout1,Callout2,Callout3,ArtistInstructions,BrandImageName,GroupSubName,GroupName,GroupSort,CategoryShopping,SubCategoryShopping
7120-65,NEW,"Quad 20,000 mAh Power Bank",ABS Plastic,"Looking to charge multiple devices at one time?  The 20,000mAh is perfect for your charging needs.   With two 5V/1A outputs and two 5V/2.4A outputs you will be able to charge two smartphones and two tablets at the same time.  Includes a USB to Micro USB connecting cable which can charge the battery backup or be used to charge up devices with a Micro USB input like Android smartphones from Samsung, Motorola, HTC, Nokia and others.",,Color:,Graphite,Technology,Power And Chargers (Technology),25,18.7,8.27,23.8,6.69,"6.125"" H x 2.875"" W x .5"" L",,"Color Imprint, 4-Color Process",1-piece black gift box,,12,50,100,150,200,111.05,106.52,102.02,97.5,90.28,5C,CDN$,,New.eps,Photographixx.eps,iPad.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7120-65GA_D-1.eps,,,,,,,,,,Graphite.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,Color: Graphite,,,,,,,,,,,,"Looking to charge multiple devices at one time?  The 20,000mAh is perfect for your charging needs.   With two 5V/1A outputs and two 5V/2.4A outputs you will be able to charge two smartphones and two tablets at the same time.  Includes a USB to Micro USB connecting cable which can charge the battery backup or be used to charge up devices with a Micro USB input like Android smartphones from Samsung, Motorola, HTC, Nokia and others. 1-piece black gift box",,,,,,,"Quad 20,000 mAh Power Bank","Quad 20,000 mAh Power Bank",20,,
7140-59,NEW,Virtual Reality Headset,ABS Plastic,"Now virtual reality can be experienced by anyone. This Virtual Reality headset allows you to experience 360 degree viewing and gaming. Simply download any ""Virtual Reality"" App  or ""3D App"" on your smart phone to begin your virtual reality experience.  The padded headset allows you to experience virtual reality in comfort. The adjustable head strap makes it “one size fits all”. The Virtual Reality headset fits all 4-6.5” phones, this includes the iPhone 6 & 6 plus, HTC One, and Nexus 6. Please note that your case may need to be removed. ",,Color:,Black,Technology,Cases & Accessories (Technology),24,15.55,17.32,17.38,14.57,"4.3"" H x 7"" W x 4.3"" L",,Color Imprint,1-piece black gift box,,24,100,150,250,400,17.75,17.07,16.37,15.65,14.1,5C,CDN$,,New.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,Color: Black,,,,,,,,,,,,"Now virtual reality can be experienced by anyone. This Virtual Reality headset allows you to experience 360 degree viewing and gaming. Simply download any ""Virtual Reality"" App  or ""3D App"" on your smart phone to begin your virtual reality experience.  The padded headset allows you to experience virtual reality in comfort. The adjustable head strap makes it “one size fits all”. The Virtual Reality headset fits all 4-6.5” phones, this includes the iPhone 6 & 6 plus, HTC One, and Nexus 6. Please note that your case may need to be removed.  1-piece black gift box",,,,,,,Virtual Reality Headset,Virtual Reality Headset,20,,
7140-60,NEW,High Definition Action Camera,ABS Plastic and Rubber,"The HD Wifi action camera comes equipped with a 1080p HD lense and a 2"" LCD screen to capture the special moment. The action camera is capable of taking both pictures & video with crystal clear resolution. The wifi capabilities allow you to take your photography to a new level. Simply download the suggested App to control the camera from your mobile device. Along with the HD camera you will receive 13 additional accessories, which include a waterproof case, helmet, and handlebar mount. Micro USB charging cable included. SD Card not included.",,Color:,Black,Technology,Cases & Accessories (Technology),20,13.23,9.72,25.79,24.61,"3.1"" H x 7.6"" W x 1.4"" L",,Color Imprint,1-piece black gift box,,3,10,20,30,50,170.3,163.57,156.8,150.05,135.17,5C,CDN$,,New.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,Color: Black,,,,,,,,,,,,"The HD Wifi action camera comes equipped with a 1080p HD lense and a 2"" LCD screen to capture the special moment. The action camera is capable of taking both pictures & video with crystal clear resolution. The wifi capabilities allow you to take your photography to a new level. Simply download the suggested App to control the camera from your mobile device. Along with the HD camera you will receive 13 additional accessories, which include a waterproof case, helmet, and handlebar mount. Micro USB charging cable included. SD Card not included. 1-piece black gift box",,,,,,,High Definition Action Camera,High Definition Action Camera,20,,
7199-84,NEW,Remote Control Drone with Camera,ABS Plastic,"Considered one of the hottest new tech items of the season, the remote control drone with camera  is sure to be a home run. The Drone features an advanced stability system that makes the drone easy to operate. After one or two practice flights you will have the drone flying with ease. Once you advance your skills you can  start performing  aerial flips, taking video, or a still photo. The drone features a .5 MP camera. Pictures or Videos can be taking with a simple push of a button. The flying time is up to 7 minutes at a distance of up to 100 Meters (330 ft.). The drone includes a rechargeable battery, USB battery charging cable, 4GB SD Card, SD Card reader, and extra propellers. ",,Color:,Black,Technology,Cases & Accessories (Technology),12,22.44,19.69,19.8,20.87,"2"" H x 7"" W x 7"" L",,,1-piece black gift box,,3,10,20,30,50,137.38,131.93,126.48,121.03,109.03,5C,CDN$,,New.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,Color: Black,,,,,,,,,,,,"Considered one of the hottest new tech items of the season, the remote control drone with camera  is sure to be a home run. The Drone features an advanced stability system that makes the drone easy to operate. After one or two practice flights you will have the drone flying with ease. Once you advance your skills you can  start performing  aerial flips, taking video, or a still photo. The drone features a .5 MP camera. Pictures or Videos can be taking with a simple push of a button. The flying time is up to 7 minutes at a distance of up to 100 Meters (330 ft.). The drone includes a rechargeable battery, USB battery charging cable, 4GB SD Card, SD Card reader, and extra propellers.  1-piece black gift box",,,,,,,Remote Control Drone with Camera,Remote Control Drone with Camera,20,,
7199-85,NEW,Boulder Waterproof Outdoor Bluetooth  Speaker,ABS Plastic and Rubber,"Enjoy your favorite music regardless of your location. Take the Boulder outdoor speaker with you to the pool, on your hike, or to your next house party. The 6 Watt output and Digital Sound Processor is capable of filling any location with quality sound. Includes Micro USB Charging Cable. Bluetooth working range is 10 meters (33 feet).",,Color:,Black,Technology,Speakers (Technology),20,17.52,9.45,19.58,11.22,"3.1"" H x 7.6"" W x 1.5"" L",,Color Imprint,1-piece black gift box,,12,50,100,150,200,59.52,57.17,54.8,52.42,47.23,5C,CDN$,,New.eps,Bluetooth.eps,iPad.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,Color: Black,,,,,,,,,,,,"Enjoy your favorite music regardless of your location. Take the Boulder outdoor speaker with you to the pool, on your hike, or to your next house party. The 6 Watt output and Digital Sound Processor is capable of filling any location with quality sound. Includes Micro USB Charging Cable. Bluetooth working range is 10 meters (33 feet). 1-piece black gift box",,,,,,,Boulder Waterproof Outdoor Bluetooth  Speaker,Boulder Waterproof Outdoor Bluetooth  Speaker,20,,
0011-02,INLINE,elleven™ Dual Ballpoint Stylus,Brass,"Innovative elleven™ design. High-gloss silhouette designed to work with most tablet computers and mobile devices, including the iPad and iPhone. Stylus uses capacitive touch technology. Includes premium black ballpoint ink cartridge.",,Color:,Black,Metal Pens,Metal Stylus Pens (Metal Pens),500,6.69,12.6,25.92,12.6,"5.73"" H x .41"" D",,"Color Imprint, Laser",2-piece black gift box,,60,150,300,450,600,12.68,12.17,11.68,11.17,10.07,5C,CDN$,Elleven.eps,Exclusive Design.eps,iPad.eps,Black Ink.eps,,,,,,,,0011-02BK_D.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-Pens 4,,,Pens_R.eps,Color: Black,,,,,,,,,,,,"Innovative elleven™ design. High-gloss silhouette designed to work with most tablet computers and mobile devices, including the iPad and iPhone. Stylus uses capacitive touch technology. Includes premium black ballpoint ink cartridge. 2-piece black gift box",,,,,,Elleven.eps,elleven™ Dual Ballpoint Stylus,elleven™ Dual Ballpoint Stylus,20,Office,Pens
0011-04,INLINE,elleven™ Traverse Roller Ball Stylus,Brass,"Streamline your business travelling with the elleven™ Traverse collection. Incredibly unique design features a high gloss barrel with an intricate, 3D geometric cut bottom barrel. You have to feel the barrel! Soft rubber, cap off stylus ideal for most mobile devices, including the iPad and iPhone. Includes premium black roller ball ink cartridge.",,Colors:,Black or Silver,Metal Pens,Metal Stylus Pens (Metal Pens),500,14.96,7.09,37.4,11.81,"5.5"" H",,"Color Imprint, Laser",2-piece black gift box,,48,150,300,450,600,10.83,10.4,9.98,9.55,8.6,5C,CDN$,Elleven.eps,New.eps,Exclusive Design.eps,iPad.eps,Black Ink.eps,,,,,,,0011-04BK_D-1.eps,0011-04SL_D-1.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0011-04BK_A-1.eps,0011-04BK_A-2.eps,,,,,,,,,Black.eps,Silver.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-Pens 4,,,Pens_L.eps,Colors: Black or Silver,,,,,,,,,,,,"Streamline your business travelling with the elleven™ Traverse collection. Incredibly unique design features a high gloss barrel with an intricate, 3D geometric cut bottom barrel. You have to feel the barrel! Soft rubber, cap off stylus ideal for most mobile devices, including the iPad and iPhone. Includes premium black roller ball ink cartridge. 2-piece black gift box",,,,,,Elleven.eps,elleven™ Traverse Roller Ball Stylus,elleven™ Traverse Roller Ball Stylus,20,,
0011-05,INLINE,elleven™ Traverse Ballpoint Stylus,Aluminum,"Streamline your business travelling with the elleven™ Traverse collection. Incredibly unique design features a high gloss barrel with an intricate, 3D geometric cut bottom barrel. You have to feel the barrel! Soft rubber stylus ideal for most mobile devices, including the iPad and iPhone. Includes premium black ballpoint ink cartridge.",,Colors:,Black or Silver,Metal Pens,Metal Stylus Pens (Metal Pens),400,14.37,6.1,25.08,10.63,"5.55"" H x .44"" D",,"Color Imprint, Laser",Velvet pouch,,48,150,300,450,600,9.02,8.67,8.32,7.95,7.17,5C,CDN$,Elleven.eps,Exclusive Design.eps,iPad.eps,Black Ink.eps,,,,,,,,0011-05SL_D-1.eps,0011-05BK_D.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0011-05SL_A-1.eps,,,,,,,,,,Black.eps,Silver.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-Pens 4,,,Pens_L.eps,Colors: Black or Silver,,,,,,,,,,,,"Streamline your business travelling with the elleven™ Traverse collection. Incredibly unique design features a high gloss barrel with an intricate, 3D geometric cut bottom barrel. You have to feel the barrel! Soft rubber stylus ideal for most mobile devices, including the iPad and iPhone. Includes premium black ballpoint ink cartridge. Velvet pouch",,,,,,Elleven.eps,elleven™ Traverse Ballpoint Stylus,elleven™ Traverse Ballpoint Stylus,20,,
0011-06,INLINE,elleven™ Prizm 3-in-1 Ballpoint Stylus,Aluminum,"Excusive elleven™ design features a winning solution with a black ink ballpoint , rubberized stylus and laser pointer. Subtle metallic finish with gloss black enamel accents. Soft, rubber stylus is ideal for navigating on iPads, iPhone, Androids and other touchscreen devices. Push on/off button for laser feature. Pen includes premium black ballpoint ink cartridge. elleven™ gift box is included.
",,Color:,Gray,Metal Pens,Metal Stylus Pens (Metal Pens),500,12.6,7.28,25.3,11.22,"5.5"" H",,"Color Imprint, Laser",2-piece premium gift box,,144,250,400,600,1000,14.5,13.92,13.35,12.77,11.5,5C,CDN$,Elleven.eps,New.eps,Exclusive Design.eps,iPad.eps,Black Ink.eps,,,,,,,0011-06GY_D-1.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0011-06GY_A-1.eps,0011-06GY_P-1.eps,0011-06GY_P.eps,,,,,,,,Gray.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-Pens 4,,,Pens_R.eps,Color: Gray,,,,,,,,,,,,"Excusive elleven™ design features a winning solution with a black ink ballpoint , rubberized stylus and laser pointer. Subtle metallic finish with gloss black enamel accents. Soft, rubber stylus is ideal for navigating on iPads, iPhone, Androids and other touchscreen devices. Push on/off button for laser feature. Pen includes premium black ballpoint ink cartridge. elleven™ gift box is included.
 2-piece premium gift box",,,,,,Elleven.eps,elleven™ Prizm 3-in-1 Ballpoint Stylus,elleven™ Prizm 3-in-1 Ballpoint Stylus,20,,
0011-07,INLINE,elleven™ Triple Grip Ballpoint Stylus,Brass,"Exclusive elleven™ design features a distinctive shiny chrome upper finish with striking black accents. The intricate triple panel grip allows for ease of comfort and writability. Soft, rubber stylus is ideal for navigating on iPads, iPhone, Androids and other touchscreen devices. Pen includes premium blue ballpoint ink cartridge. elleven™ gift box is included.",,Color:,Silver,Metal Pens,Metal Stylus Pens (Metal Pens),400,12.6,7.28,24.2,11.22,"5.75"" H",,"Color Imprint, Laser",2-piece premium gift box,,60,150,300,450,600,10.87,10.43,10,9.58,8.62,5C,CDN$,Elleven.eps,New.eps,Exclusive Design.eps,iPad.eps,Blue Ink.eps,,,,,,,0011-07SL_D-1.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0011-07SL_A-1.eps,0011-07SL_P-1.eps,0011-07SL_P.eps,,,,,,,,Silver.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-Pens 4,,,Pens_L.eps,Color: Silver,,,,,,,,,,,,"Exclusive elleven™ design features a distinctive shiny chrome upper finish with striking black accents. The intricate triple panel grip allows for ease of comfort and writability. Soft, rubber stylus is ideal for navigating on iPads, iPhone, Androids and other touchscreen devices. Pen includes premium blue ballpoint ink cartridge. elleven™ gift box is included. 2-piece premium gift box",,,,,,Elleven.eps,elleven™ Triple Grip Ballpoint Stylus,elleven™ Triple Grip Ballpoint Stylus,20,,
0011-08,INLINE,elleven™ Triple Grip Roller Ball Stylus,Brass,"Exclusive elleven™ design features a distinctive shiny chrome upper finish with striking black accents. The intricate triple panel grip allows for ease of comfort and great writability. Soft, rubber stylus is ideal for navigating on iPads, iPhone, Androids and other touchscreen devices. Pen includes premium blue ink roller ball cartridge. elleven™ gift box is included.
",,Color:,Silver,Metal Pens,Metal Stylus Pens (Metal Pens),400,12.6,7.28,26.4,11.22,"5.75"" H",,"Color Imprint, Laser",2-piece premium gift box,,60,150,300,450,600,11.75,11.28,10.82,10.35,9.33,5C,CDN$,Elleven.eps,New.eps,Exclusive Design.eps,iPad.eps,Blue Ink.eps,,,,,,,0011-08SL_D-1.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0011-08SL_A-1.eps,0011-08SL_A-2.eps,0011-08SL_P-1.eps,0011-08SL_P.eps,,,,,,,Silver.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-Pens 4,,,Pens_L.eps,Color: Silver,,,,,,,,,,,,"Exclusive elleven™ design features a distinctive shiny chrome upper finish with striking black accents. The intricate triple panel grip allows for ease of comfort and great writability. Soft, rubber stylus is ideal for navigating on iPads, iPhone, Androids and other touchscreen devices. Pen includes premium blue ink roller ball cartridge. elleven™ gift box is included.
 2-piece premium gift box",,,,,,Elleven.eps,elleven™ Triple Grip Roller Ball Stylus,elleven™ Triple Grip Roller Ball Stylus,20,,
0011-09,INLINE,elleven™ Vapor Dual Ballpoint Stylus,Brass,"Exclusive Leed's design features stunning midnight chrome finishing with signature Vapor detailing on bottom barrel. Rubberized capacitive touch stylus tip is ideal for touch screens such as iPhones and iPads as well as everyday uses such as touchscreen payment pads used in grocery stores, gas stations, department stores and ATMs. Pen also includes premium black ink cartridge.",,Color:,Graphite,Metal Pens,Metal Stylus Pens (Metal Pens),500,6.69,12.6,25.3,12.6,"5.85"" H x .38"" D",,"Color Imprint, Laser",2-piece black gift box,,48,150,300,450,600,15.38,14.78,14.17,13.57,12.22,5C,CDN$,Elleven.eps,Exclusive Design.eps,iPad.eps,Black Ink.eps,,,,,,,,0011-09GA_D-1.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0011-09GA_A-1.eps,,,,,,,,,,Graphite.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-Pens 4,Yes,New ,Pens_R.eps,Color: Graphite,,,,,,,,,,,,"Exclusive Leed's design features stunning midnight chrome finishing with signature Vapor detailing on bottom barrel. Rubberized capacitive touch stylus tip is ideal for touch screens such as iPhones and iPads as well as everyday uses such as touchscreen payment pads used in grocery stores, gas stations, department stores and ATMs. Pen also includes premium black ink cartridge. 2-piece black gift box",,,,,,Elleven.eps,elleven™ Vapor Dual Ballpoint Stylus,elleven™ Vapor Dual Ballpoint Stylus,20,Office,Pens
0011-10,INLINE,elleven™ Zippered Padfolio,Dot Dobby Nylon with Scuba,"Zippered closure. Techtrap elastic interior organizer. Holds an iPad.  Front cover access pocket with business card holders and media organizers. 4 USB memory flash drive holders. 2 business card holders. Elastic pen loop.  Gusseted document pocket. Includes 8.5"" x 11"" elleven™ series writing pad.",,Color:,Black,Stationery,Tech Stationery (Stationery),12,20.67,14.76,28.6,11.81,"14"" H x 11"" W x 1.88"" L",,"Stamping, Color Imprint, Epoxy Dome",1-piece premium gift box,,24,100,150,250,400,44.62,42.87,41.1,39.32,35.42,5C,CDN$,Elleven.eps,Exclusive Design.eps,iPad.eps,,,,,,,,,0011-10BK_D.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0011-10BK_A.eps,,,,,,,,,,Black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-Tech Stationery 3,,,TechStationery_L.eps,Color: Black,0011-10 + Recommended pen 1035-81,35.71,34.41,33.11,31.81,28.96,48.09,46.34,44.57,42.79,38.89,"Zippered closure. Techtrap elastic interior organizer. Holds an iPad.  Front cover access pocket with business card holders and media organizers. 4 USB memory flash drive holders. 2 business card holders. Elastic pen loop.  Gusseted document pocket. Includes 8.5"" x 11"" elleven™ series writing pad. 1-piece premium gift box",,,,,,Elleven.eps,elleven™ Zippered Padfolio,elleven™ Zippered Padfolio,20,Mobile Tech,Tech Stationery & Cases
0011-11,INLINE,elleven™ Small Techtrap,Nylon,"Use our techtrap technology to transport your iPhone, Android phone, iPod, iPad Mini or other technology devices plus their complementing cables and power devices.  Place into any bag for convenient storage or transportation.",,Color:,Gray,Technology,Cases & Accessories (Technology),60,14.17,9.45,20.46,12.99,"8.75"" H x .5"" W x 6.6"" L",,"Color Imprint, 4-Color Process",Bulk,,48,150,300,450,600,17.65,16.95,16.25,15.57,14.02,5C,CDN$,Elleven.eps,Exclusive Design.eps,Photographixx.eps,,,,,,,,,0011-11GY_D-1.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0011-11GY_A.eps,,,,,,,,,,Gray.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-Tech Accessories 4,,,TechAccessories_R.eps,Color: Gray,,,,,,,,,,,,"Use our techtrap technology to transport your iPhone, Android phone, iPod, iPad Mini or other technology devices plus their complementing cables and power devices.  Place into any bag for convenient storage or transportation. Bulk",,,,,,Elleven.eps,elleven™ Small Techtrap,elleven™ Small Techtrap,20,Mobile Tech,Tech Accessories 
0011-17,INLINE,elleven™ Jet Setter Travel Wallet,420d Poly,"Take storage and organization to a whole new level for any jet setter.  Features a quick storage passport slot, four slotted pockets for credit cards, mesh ID holder, zippered coin pocket, pen holder, slotted pocket for boarding pass, and a techtrap area for a Smartphone, USB Memory, or other item.",,Color:,Black,Travel Gifts,Wallets (Travel Gifts),36,16.54,10.24,19.84,17.52,"9.25"" H x 1.25"" W x 5"" L",,"Stamping, Color Imprint",1-piece premium gift box,,36,100,150,250,400,27.48,26.4,25.3,24.2,21.82,5C,CDN$,Elleven.eps,,,,,,,,,,,0011-17BK_D.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0011-17BK_A-1.eps,,,,,,,,,,Black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-Luggage & Travel Gifts 3,,,LuggageTravelGifts_L.eps,Color: Black,,,,,,,,,,,,"Take storage and organization to a whole new level for any jet setter.  Features a quick storage passport slot, four slotted pockets for credit cards, mesh ID holder, zippered coin pocket, pen holder, slotted pocket for boarding pass, and a techtrap area for a Smartphone, USB Memory, or other item. 1-piece premium gift box",,,,,,Elleven.eps,elleven™ Jet Setter Travel Wallet,elleven™ Jet Setter Travel Wallet,20,"Drinkware, Home & Travel",Luggage & Travel Gifts
0011-20,INLINE,elleven™ Jr. Zippered Padfolio,Dot Dobby Nylon with Scuba,"Zippered closure. Techtrap elastic interior organizer. Holds an iPad. Front cover pocket with business card holders. Interior organizational panel includes five business card holders and one USB port. Pen loop. Document folder. Includes 5"" x 8"" writing pad.",,Color:,Black,Stationery,Tech Stationery (Stationery),24,18.5,12.4,31.68,17.13,"11"" H x 8.625"" W x 1.5"" L",,Stamping,1-piece premium gift box,,36,100,150,250,400,36.02,34.6,33.17,31.75,28.6,5C,CDN$,Elleven.eps,Exclusive Design.eps,iPad.eps,,,,,,,,,0011-20BK_D.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0011-20BK_A-1.eps,,,,,,,,,,Black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-Tech Stationery 3,,,TechStationery_L.eps,Color: Black,0011-20 + Recommended pen 1035-81,29.41,28.36,27.31,26.26,23.96,39.49,38.07,36.64,35.22,32.07,"Zippered closure. Techtrap elastic interior organizer. Holds an iPad. Front cover pocket with business card holders. Interior organizational panel includes five business card holders and one USB port. Pen loop. Document folder. Includes 5"" x 8"" writing pad. 1-piece premium gift box",,,,,,Elleven.eps,elleven™ Jr. Zippered Padfolio,elleven™ Jr. Zippered Padfolio,20,Mobile Tech,Tech Stationery & Cases
0011-23,INLINE,elleven™ Electronics Manager,Furong,"Manage and protect your electronics with an EVA Molded case.  In today's world where you need cords, chargers, and accessories to constantly power and use today's devices like iPad, iPhone or other Tablets and Smartphones, the elleven Electronics Manager keeps those items all together.  Two mesh pockets, a techtrap interior, and a protective nylex pocket keeps your items safe inside the zippered case.",,Color:,Black,Technology,Cases & Accessories (Technology),36,19.29,8.46,18.04,19.29,"7.63"" H x 6"" W x 1.25"" L",,"Stamping, Color Imprint, Epoxy Dome",Bulk,,24,100,150,250,400,29.87,28.67,27.48,26.32,23.7,5C,CDN$,Elleven.eps,,,,,,,,,,,0011-23BK_D-1.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0011-23BK_A-1.eps,,,,,,,,,,Black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-Tech Accessories  4,,,TechAccessories_L.eps,Color: Black,,,,,,,,,,,,"Manage and protect your electronics with an EVA Molded case.  In today's world where you need cords, chargers, and accessories to constantly power and use today's devices like iPad, iPhone or other Tablets and Smartphones, the elleven Electronics Manager keeps those items all together.  Two mesh pockets, a techtrap interior, and a protective nylex pocket keeps your items safe inside the zippered case. Bulk",,,,,,Elleven.eps,elleven™ Electronics Manager,elleven™ Electronics Manager,,Mobile Tech,Tech Accessories 
0011-26,INLINE,elleven™ Traverse RFID Travel Wallet,Vinyl,"Streamline your business travelling with the elleven™ Traverse collection. RFID Technology encases your belongings to protect against identify theft. Fully featured travel wallet that has exterior and interior slotted pockets for your boarding pass, passport, and all other travel documents.  Includes a privacy mesh ID holder, elastic pen holder, and additional slots for credit cards.  Features multiple elastic slots to hold business cards.  Perfect for international and domestic travel.",,Color:,Black,Travel Gifts,Wallets (Travel Gifts),24,11.42,11.22,14.52,11.02,"10"" H x 5"" W x 1"" L",,"Stamping, Color Imprint, Epoxy Dome",1-piece premium gift box,,24,100,150,250,400,32.02,30.75,29.47,28.2,25.4,5C,CDN$,Elleven.eps,Exclusive Design.eps,,,,,,,,,,0011-26BK_D-1.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0011-26BK_A-1.eps,,,,,,,,,,Black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-Luggage & Travel Gifts 3,,,LuggageTravelGifts_R.eps,Color: Black,,,,,,,,,,,,"Streamline your business travelling with the elleven™ Traverse collection. RFID Technology encases your belongings to protect against identify theft. Fully featured travel wallet that has exterior and interior slotted pockets for your boarding pass, passport, and all other travel documents.  Includes a privacy mesh ID holder, elastic pen holder, and additional slots for credit cards.  Features multiple elastic slots to hold business cards.  Perfect for international and domestic travel. 1-piece premium gift box",,,,,,Elleven.eps,elleven™ Traverse RFID Travel Wallet,elleven™ Traverse RFID Travel Wallet,20,,
0011-28,INLINE,elleven™ Traverse RFID Passport Wallet,Vinyl,"Get down to business while travelling, with the elleven™ Traverse Collection. RFID Technology encases your belongings to protect against identify theft. Features a quick storage passport slot, mesh ID holder, elastic pen holder, slotted pocket for boarding pass, and additional slots for credit cards.",,Color:,Black,Travel Gifts,Wallets (Travel Gifts),48,16.54,7.68,16.28,15.16,"6.25"" H x 5"" W x 1"" L",,Stamping,1-piece premium gift box,,36,100,150,250,400,20.97,20.15,19.3,18.48,16.65,5C,CDN$,Elleven.eps,Exclusive Design.eps,,,,,,,,,,0011-28BK_D-1.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0011-28BK_A-1.eps,,,,,,,,,,Black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-Luggage & Travel Gifts 3,,,LuggageTravelGifts_L.eps,Color: Black,,,,,,,,,,,,"Get down to business while travelling, with the elleven™ Traverse Collection. RFID Technology encases your belongings to protect against identify theft. Features a quick storage passport slot, mesh ID holder, elastic pen holder, slotted pocket for boarding pass, and additional slots for credit cards. 1-piece premium gift box",,,,,,Elleven.eps,elleven™ Traverse RFID Passport Wallet,elleven™ Traverse RFID Passport Wallet,20,,
